Year of Death,Locality,Locality Name,Drug Class,Death Count,Death Rate
2017,51079,Greene,Any Opioids,*,*
2017,51083,Halifax,S Opioids No Methadone,*,*
2015,51165,Rockingham,Rx N SS Methadone,*,*
2016,51660,Harrisonburg,N SS S Opioids,*,*
2017,51155,Pulaski,S Opioids No Methadone,*,*
2018,51023,Botetourt,Heroin,*,*
2018,51071,Giles,Any Opioids,0,0
2017,51025,Brunswick,Rx N SS Methadone,*,*
2016,51145,Powhatan,N SS Opioids,*,*
2017,51760,Richmond City,N SS S Opioids,59,25.99
2016,51059,Fairfax,S Opioids No Methadone,46,4.04
2016,51580,Covington,Rx N SS Methadone,0,0
2017,51063,Floyd,Rx N SS Methadone,*,*
2017,51169,Scott,Rx N SS Methadone,0,0
2016,51620,Franklin City,Methadone,0,0
2016,51760,Richmond City,S Opioids No Methadone,39,17.48
2018,51685,Manassas Park,Methadone,0,0
2015,51770,Roanoke City,S Opioids No Methadone,11,11.01
2018,51720,Norton,Rx N SS Methadone,0,0
2017,51700,Newport News,Rx N SS Methadone,8,4.46
2018,51520,Bristol,Heroin,0,0
2018,51017,Bath,Rx N SS Methadone,*,*
2018,51109,Louisa,Heroin,*,*
2015,51750,Radford,S Opioids No Methadone,0,0
2015,51179,Stafford,All Drugs,17,11.97
2015,51003,Albemarle,Any Opioids,5,4.73
2018,51085,Hanover,N SS Opioids,*,*
2018,51570,Colonial Heights,Methadone,*,*
2018,51109,Louisa,Any Opioids,6,16.30
2018,51185,Tazewell,N SS Opioids,*,*
2016,51137,Orange,Rx N SS Methadone,*,*
2015,51680,Lynchburg,Methadone,0,0
2018,51121,Montgomery,Heroin,*,*
2017,51640,Galax,Methadone,0,0
2015,51093,Isle of Wight,Rx N SS Methadone,0,0
2018,51520,Bristol,Any Opioids,*,*
2016,51023,Botetourt,All Drugs,*,*
2016,51047,Culpeper,All Drugs,12,23.96
2015,51095,James City,N SS S Opioids,5,6.84
2018,51119,Middlesex,Methadone,0,0
2016,51033,Caroline,Heroin,*,*
2018,51173,Smyth,S Opioids No Methadone,0,0
2015,51580,Covington,Rx N SS Methadone,0,0
2015,51059,Fairfax,S Opioids No Methadone,16,1.40
2015,51760,Richmond City,S Opioids No Methadone,17,7.72
2017,51135,Nottoway,Methadone,0,0
2015,51145,Powhatan,N SS Opioids,0,0
2015,51620,Franklin City,Methadone,0,0
2018,51065,Fluvanna,Heroin,*,*
2018,51800,Suffolk,Rx N SS Methadone,*,*
2018,51025,Brunswick,Heroin,0,0
2017,51023,Botetourt,Rx N SS Methadone,0,0
2017,51035,Carroll,All Drugs,5,16.82
2016,51033,Caroline,Rx N SS Methadone,*,*
2016,51107,Loudoun,N SS S Opioids,21,5.44
2016,51003,Albemarle,N SS Opioids,*,*
2017,51027,Buchanan,N SS Opioids,*,*
2018,51135,Nottoway,N SS S Opioids,*,*
2017,51125,Nelson,N SS Opioids,*,*
2017,51127,New Kent,All Drugs,8,36.90
2018,51683,Manassas City,Any Opioids,6,14.41
2015,51199,York,All Drugs,7,10.32
2017,51067,Franklin County,N SS S Opioids,5,8.86
2018,51161,Roanoke County,Methadone,*,*
2018,51131,Northampton,Rx N SS Methadone,*,*
2018,51077,Grayson,Any Opioids,0,0
2018,51191,Washington,N SS Opioids,*,*
2016,51007,Amelia,Methadone,0,0
2017,51149,Prince George,Heroin,5,13.22
2015,51165,Rockingham,S Opioids No Methadone,0,0
2017,51660,Harrisonburg,Rx N SS Methadone,*,*
2016,51067,Franklin County,S Opioids No Methadone,5,8.92
2018,51175,Southampton,Any Opioids,*,*
2017,51001,Accomack,Heroin,*,*
2018,51033,Caroline,Heroin,5,16.25
2016,51173,Smyth,S Opioids No Methadone,*,*
2015,51053,Dinwiddie,Methadone,0,0
2018,51023,Botetourt,All Drugs,9,27.05
2018,51047,Culpeper,All Drugs,14,27.00
2016,51119,Middlesex,Methadone,0,0
2015,51091,Highland,S Opioids No Methadone,0,0
2016,51520,Bristol,Methadone,0,0
2016,51109,Louisa,Methadone,0,0
2017,51630,Fredericksburg,S Opioids No Methadone,*,*
2016,51630,Fredericksburg,N SS S Opioids,*,*
2016,51610,Falls Church,Any Opioids,*,*
2015,51171,Shenandoah,N SS S Opioids,8,18.52
2016,51089,Henry,N SS S Opioids,*,*
2018,51011,Appomattox,N SS Opioids,*,*
2017,51111,Lunenburg,N SS Opioids,0,0
2018,51775,Salem,S Opioids No Methadone,*,*
2017,51061,Fauquier,S Opioids No Methadone,14,20.14
2015,51800,Suffolk,All Drugs,7,7.94
2015,51810,Virginia Beach,Any Opioids,53,11.71
2017,51630,Fredericksburg,Methadone,*,*
2016,51690,Martinsville,Any Opioids,*,*
2017,51595,Emporia,Any Opioids,0,0
2018,51005,Alleghany,S Opioids No Methadone,*,*
2018,51137,Orange,Heroin,*,*
2015,51021,Bland,Any Opioids,*,*
2017,51770,Roanoke City,N SS Opioids,12,12.02
2015,51009,Amherst,Any Opioids,0,0
2016,51720,Norton,Any Opioids,*,*
2016,51540,Charlottesville,Methadone,0,0
2016,51017,Bath,Any Opioids,0,0
2017,51195,Wise,N SS S Opioids,13,33.69
2017,51075,Goochland,S Opioids No Methadone,*,*
2015,51173,Smyth,Rx N SS Methadone,*,*
2016,51091,Highland,Rx N SS Methadone,0,0
2016,51187,Warren,All Drugs,9,22.99
2018,51101,King William,Rx N SS Methadone,*,*
2016,51075,Goochland,N SS S Opioids,*,*
2016,51089,Henry,Any Opioids,*,*
2018,51810,Virginia Beach,Methadone,5,1.11
2018,51690,Martinsville,N SS Opioids,*,*
2016,51057,Essex,Heroin,*,*
2018,51093,Isle of Wight,N SS S Opioids,6,16.23
2017,51197,Wythe,Any Opioids,*,*
2018,51199,York,Methadone,0,0
2017,51159,Richmond County,Methadone,0,0
2017,51173,Smyth,N SS Opioids,*,*
2016,51103,Lancaster,N SS Opioids,*,*
2015,51650,Hampton,S Opioids No Methadone,5,3.66
2018,51590,Danville,N SS S Opioids,*,*
2018,51073,Gloucester,N SS Opioids,*,*
2016,51195,Wise,N SS Opioids,*,*
2015,51057,Essex,Methadone,0,0
2017,51540,Charlottesville,Any Opioids,*,*
2018,51019,Bedford,Rx N SS Methadone,0,0
2017,51009,Amherst,Methadone,0,0
2017,51073,Gloucester,Rx N SS Methadone,*,*
2017,51021,Bland,Methadone,0,0
2018,51750,Radford,Any Opioids,0,0
2017,51157,Rappahannock,Heroin,0,0
2018,51107,Loudoun,Methadone,*,*
2015,51530,Buena Vista City,Methadone,0,0
2018,51127,New Kent,S Opioids No Methadone,*,*
2017,51690,Martinsville,S Opioids No Methadone,0,0
2018,51600,Fairfax City,Rx N SS Methadone,0,0
2016,51177,Spotsylvania,Heroin,15,11.36
2017,51610,Falls Church,Methadone,*,*
2015,51810,Virginia Beach,N SS S Opioids,41,9.06
2017,51089,Henry,N SS Opioids,*,*
2016,51678,Lexington,Heroin,0,0
2016,51093,Isle of Wight,N SS Opioids,*,*
2016,51690,Martinsville,N SS S Opioids,*,*
2015,51175,Southampton,Heroin,*,*
2017,51630,Fredericksburg,Rx N SS Methadone,*,*
2015,51119,Middlesex,N SS Opioids,0,0
2016,51087,Henrico,N SS S Opioids,34,10.41
2016,51053,Dinwiddie,N SS Opioids,0,0
2015,51101,King William,Any Opioids,*,*
2018,51127,New Kent,Any Opioids,*,*
2015,51197,Wythe,Methadone,*,*
2018,51111,Lunenburg,Heroin,0,0
2017,51011,Appomattox,Heroin,0,0
2016,51740,Portsmouth,Rx N SS Methadone,*,*
2016,51113,Madison,Methadone,0,0
2018,51179,Stafford,Methadone,*,*
2015,51037,Charlotte,N SS S Opioids,0,0
2018,51005,Alleghany,Rx N SS Methadone,0,0
2015,51650,Hampton,Any Opioids,20,14.66
2016,51023,Botetourt,Any Opioids,*,*
2015,51700,Newport News,N SS Opioids,5,2.74
2015,51185,Tazewell,N SS S Opioids,7,16.32
2017,51011,Appomattox,Rx N SS Methadone,0,0
2018,51053,Dinwiddie,N SS S Opioids,*,*
2015,51085,Hanover,N SS S Opioids,7,6.78
2016,51095,James City,Methadone,0,0
2016,51740,Portsmouth,Heroin,11,11.55
2017,51197,Wythe,S Opioids No Methadone,*,*
2015,51570,Colonial Heights,Any Opioids,*,*
2018,51031,Campbell,Rx N SS Methadone,*,*
2018,51111,Lunenburg,Rx N SS Methadone,0,0
2018,51680,Lynchburg,Any Opioids,5,6.09
2016,51083,Halifax,Heroin,*,*
2015,51141,Patrick,Methadone,0,0
2016,51029,Buckingham,N SS S Opioids,0,0
2018,51049,Cumberland,Any Opioids,0,0
2017,51091,Highland,All Drugs,0,0
2017,51029,Buckingham,S Opioids No Methadone,0,0
2015,51510,Alexandria,S Opioids No Methadone,*,*
2017,51187,Warren,Rx N SS Methadone,*,*
2018,51097,King and Queen,Any Opioids,*,*
2018,51029,Buckingham,S Opioids No Methadone,0,0
2017,51049,Cumberland,Any Opioids,*,*
2018,51187,Warren,Rx N SS Methadone,*,*
2017,51097,King and Queen,Any Opioids,*,*
2015,51047,Culpeper,S Opioids No Methadone,*,*
2018,51091,Highland,All Drugs,0,0
2016,51125,Nelson,Methadone,*,*
2017,51595,Emporia,S Opioids No Methadone,0,0
2015,51036,Charles City,Heroin,*,*
2017,51610,Falls Church,Rx N SS Methadone,*,*
2015,51730,Petersburg,S Opioids No Methadone,*,*
2015,51590,Danville,Heroin,*,*
2017,51061,Fauquier,Any Opioids,16,23.03
2018,51775,Salem,Any Opioids,5,19.50
2017,51031,Campbell,N SS S Opioids,*,*
2018,51600,Fairfax City,Methadone,0,0
2016,51680,Lynchburg,N SS Opioids,*,*
2016,51199,York,N SS S Opioids,*,*
2015,51101,King William,N SS S Opioids,*,*
2015,51049,Cumberland,S Opioids No Methadone,0,0
2015,51740,Portsmouth,All Drugs,19,19.75
2018,51620,Franklin City,N SS S Opioids,0,0
2018,51157,Rappahannock,N SS Opioids,0,0
2018,51510,Alexandria,Any Opioids,7,4.36
2015,51097,King and Queen,S Opioids No Methadone,0,0
2015,51840,Winchester,Heroin,*,*
2018,51115,Mathews,All Drugs,*,*
2016,51610,Falls Church,All Drugs,*,*
2016,51153,Prince William,S Opioids No Methadone,35,7.69
2018,51139,Page,Methadone,0,0
2017,51685,Manassas Park,S Opioids No Methadone,*,*
2016,51685,Manassas Park,N SS S Opioids,*,*
2015,51019,Bedford,N SS S Opioids,5,6.43
2016,51045,Craig,N SS S Opioids,*,*
2015,51143,Pittsylvania,N SS S Opioids,*,*
2015,51590,Danville,Rx N SS Methadone,*,*
2017,51153,Prince William,N SS S Opioids,50,10.80
2016,51683,Manassas City,Heroin,*,*
2018,51077,Grayson,S Opioids No Methadone,0,0
2018,51830,Williamsburg,N SS Opioids,0,0
2016,51133,Northumberland,Any Opioids,0,0
2017,51069,Frederick,N SS Opioids,7,8.09
2015,51113,Madison,N SS Opioids,0,0
2016,51820,Waynesboro,S Opioids No Methadone,*,*
2017,51007,Amelia,Rx N SS Methadone,0,0
2018,51790,Staunton,Methadone,0,0
2015,51155,Pulaski,Heroin,0,0
2018,51036,Charles City,N SS S Opioids,*,*
2017,51015,Augusta,N SS Opioids,*,*
2018,51101,King William,Heroin,*,*
2017,51820,Waynesboro,N SS S Opioids,*,*
2017,51119,Middlesex,S Opioids No Methadone,*,*
2018,51185,Tazewell,N SS S Opioids,*,*
2015,51053,Dinwiddie,N SS S Opioids,*,*
2017,51041,Chesterfield,Heroin,35,10.19
2017,51019,Bedford,Heroin,5,6.41
2018,51570,Colonial Heights,Any Opioids,9,50.47
2018,51085,Hanover,N SS S Opioids,18,16.78
2015,51031,Campbell,Rx N SS Methadone,*,*
2015,51111,Lunenburg,Rx N SS Methadone,0,0
2015,51680,Lynchburg,Any Opioids,*,*
2016,51127,New Kent,Rx N SS Methadone,0,0
2016,51119,Middlesex,N SS S Opioids,*,*
2016,51740,Portsmouth,All Drugs,28,29.40
2017,51145,Powhatan,Any Opioids,7,24.47
2016,51097,King and Queen,S Opioids No Methadone,0,0
2017,51181,Surry,S Opioids No Methadone,*,*
2018,51167,Russell,N SS Opioids,*,*
2016,51049,Cumberland,S Opioids No Methadone,*,*
2017,51097,King and Queen,N SS S Opioids,*,*
2017,51049,Cumberland,N SS S Opioids,*,*
2015,51115,Mathews,Heroin,*,*
2017,51029,Buckingham,Rx N SS Methadone,*,*
2017,51185,Tazewell,All Drugs,9,21.90
2017,51683,Manassas City,N SS Opioids,*,*
2016,51135,Nottoway,Rx N SS Methadone,0,0
2017,51085,Hanover,All Drugs,24,22.66
2015,51181,Surry,N SS Opioids,0,0
2015,51059,Fairfax,Any Opioids,61,5.34
2015,51063,Floyd,Methadone,0,0
2015,51510,Alexandria,Rx N SS Methadone,*,*
2015,51169,Scott,Methadone,0,0
2016,51570,Colonial Heights,Rx N SS Methadone,*,*
2015,51159,Richmond County,S Opioids No Methadone,*,*
2018,51197,Wythe,N SS Opioids,*,*
2017,51540,Charlottesville,All Drugs,6,12.50
2016,51735,Poquoson,N SS S Opioids,5,41.61
2018,51173,Smyth,Any Opioids,0,0
2016,51075,Goochland,N SS Opioids,*,*
2016,51147,Prince Edward,All Drugs,5,21.61
2018,51037,Charlotte,N SS Opioids,0,0
2016,51670,Hopewell,N SS S Opioids,6,26.39
2016,51145,Powhatan,Heroin,0,0
2016,51161,Roanoke County,N SS S Opioids,11,11.70
2017,51171,Shenandoah,Heroin,5,11.57
2017,51113,Madison,S Opioids No Methadone,*,*
2017,51161,Roanoke County,S Opioids No Methadone,10,10.67
2018,51133,Northumberland,Rx N SS Methadone,0,0
2015,51015,Augusta,S Opioids No Methadone,*,*
2015,51750,Radford,Any Opioids,0,0
2016,51163,Rockbridge,Methadone,*,*
2017,51051,Dickenson,Methadone,*,*
2015,51107,Loudoun,Methadone,0,0
2018,51530,Buena Vista City,Methadone,0,0
2016,51181,Surry,N SS Opioids,0,0
2015,51135,Nottoway,Rx N SS Methadone,0,0
2016,51169,Scott,Methadone,0,0
2016,51063,Floyd,Methadone,0,0
2018,51071,Giles,S Opioids No Methadone,0,0
2017,51840,Winchester,N SS Opioids,*,*
2016,51115,Mathews,Heroin,0,0
2016,51059,Fairfax,Any Opioids,75,6.59
2017,51155,Pulaski,Any Opioids,7,20.48
2016,51510,Alexandria,Rx N SS Methadone,9,5.78
2018,51111,Lunenburg,N SS Opioids,0,0
2016,51640,Galax,Any Opioids,0,0
2017,51011,Appomattox,N SS Opioids,0,0
2015,51075,Goochland,Any Opioids,*,*
2016,51137,Orange,S Opioids No Methadone,10,28.14
2015,51103,Lancaster,All Drugs,*,*
2015,51595,Emporia,N SS Opioids,0,0
2018,51630,Fredericksburg,S Opioids No Methadone,8,27.45
2015,51580,Covington,Methadone,0,0
2017,51047,Culpeper,N SS Opioids,*,*
2015,51620,Franklin City,Rx N SS Methadone,*,*
2018,51155,Pulaski,N SS S Opioids,6,17.61
2015,51147,Prince Edward,N SS Opioids,0,0
2017,51155,Pulaski,N SS S Opioids,7,20.48
2016,51059,Fairfax,N SS S Opioids,60,5.27
2018,51047,Culpeper,N SS Opioids,*,*
2016,51097,King and Queen,Rx N SS Methadone,0,0
2016,51049,Cumberland,Rx N SS Methadone,0,0
2016,51111,Lunenburg,Any Opioids,0,0
2017,51610,Falls Church,N SS Opioids,*,*
2018,51159,Richmond County,S Opioids No Methadone,*,*
2015,51173,Smyth,Any Opioids,*,*
2016,51091,Highland,Any Opioids,0,0
2016,51680,Lynchburg,Rx N SS Methadone,*,*
2016,51093,Isle of Wight,Methadone,0,0
2015,51197,Wythe,N SS Opioids,*,*
2016,51089,Henry,Rx N SS Methadone,*,*
2016,51009,Amherst,N SS S Opioids,*,*
2016,51005,Alleghany,Any Opioids,*,*
2016,51105,Lee,All Drugs,*,*
2017,51025,Brunswick,Heroin,0,0
2016,51580,Covington,Heroin,0,0
2016,51001,Accomack,Rx N SS Methadone,*,*
2018,51035,Carroll,All Drugs,*,*
2015,51720,Norton,N SS S Opioids,*,*
2018,51027,Buchanan,N SS Opioids,7,32.99
2018,51023,Botetourt,Rx N SS Methadone,*,*
2016,51021,Bland,N SS S Opioids,0,0
2015,51017,Bath,N SS S Opioids,0,0
2018,51740,Portsmouth,Any Opioids,26,27.47
2015,51510,Alexandria,All Drugs,12,7.82
2017,51135,Nottoway,Heroin,0,0
2018,51065,Fluvanna,Methadone,*,*
2017,51007,Amelia,Any Opioids,*,*
2016,51680,Lynchburg,Heroin,*,*
2015,51036,Charles City,N SS Opioids,0,0
2018,51550,Chesapeake,Any Opioids,30,12.36
2015,51790,Staunton,Heroin,0,0
2017,51530,Buena Vista City,Heroin,0,0
2018,51155,Pulaski,Methadone,*,*
2015,51800,Suffolk,Any Opioids,5,5.67
2015,51157,Rappahannock,Methadone,0,0
2017,51193,Westmoreland,All Drugs,8,44.99
2017,51595,Emporia,All Drugs,0,0
2017,51167,Russell,Rx N SS Methadone,*,*
2018,51051,Dickenson,Heroin,0,0
2015,51073,Gloucester,Rx N SS Methadone,0,0
2017,51530,Buena Vista City,Methadone,0,0
2015,51009,Amherst,Methadone,0,0
2015,51157,Rappahannock,Heroin,*,*
2016,51017,Bath,Methadone,0,0
2016,51720,Norton,Methadone,0,0
2018,51051,Dickenson,Methadone,*,*
2015,51021,Bland,Methadone,0,0
2016,51091,Highland,N SS S Opioids,0,0
2017,51109,Louisa,S Opioids No Methadone,*,*
2015,51145,Powhatan,All Drugs,*,*
2018,51171,Shenandoah,N SS Opioids,*,*
2015,51011,Appomattox,N SS S Opioids,*,*
2015,51173,Smyth,N SS S Opioids,*,*
2017,51037,Charlotte,Heroin,0,0
2018,51137,Orange,Methadone,0,0
2015,51159,Richmond County,Any Opioids,*,*
2017,51520,Bristol,S Opioids No Methadone,0,0
2015,51121,Montgomery,All Drugs,7,7.17
2017,51197,Wythe,All Drugs,7,24.24
2016,51550,Chesapeake,N SS Opioids,8,3.36
2018,51167,Russell,N SS S Opioids,*,*
2016,51097,King and Queen,Any Opioids,*,*
2016,51049,Cumberland,Any Opioids,*,*
2015,51069,Frederick,All Drugs,22,26.44
2018,51029,Buckingham,N SS S Opioids,0,0
2017,51125,Nelson,Methadone,0,0
2018,51083,Halifax,Heroin,*,*
2018,51133,Northumberland,N SS S Opioids,0,0
2018,51045,Craig,All Drugs,0,0
2016,51161,Roanoke County,Rx N SS Methadone,*,*
2016,51131,Northampton,Methadone,0,0
2016,51157,Rappahannock,All Drugs,*,*
2016,51036,Charles City,Any Opioids,*,*
2016,51115,Mathews,N SS S Opioids,*,*
2017,51041,Chesterfield,N SS Opioids,14,4.07
2018,51550,Chesapeake,N SS S Opioids,24,9.89
2015,51063,Floyd,N SS S Opioids,0,0
2018,51700,Newport News,Heroin,17,9.52
2015,51099,King George,S Opioids No Methadone,*,*
2015,51169,Scott,N SS S Opioids,*,*
2017,51187,Warren,N SS Opioids,*,*
2016,51520,Bristol,N SS Opioids,0,0
2016,51085,Hanover,Any Opioids,8,7.66
2017,51680,Lynchburg,N SS S Opioids,6,7.41
2015,51155,Pulaski,All Drugs,6,17.48
2015,51730,Petersburg,N SS Opioids,0,0
2018,51159,Richmond County,Rx N SS Methadone,*,*
2016,51109,Louisa,N SS Opioids,0,0
2016,51680,Lynchburg,S Opioids No Methadone,0,0
2016,51185,Tazewell,Any Opioids,*,*
2016,51087,Henrico,Rx N SS Methadone,14,4.29
2017,51053,Dinwiddie,Any Opioids,*,*
2015,51079,Greene,N SS S Opioids,0,0
2018,51179,Stafford,Any Opioids,18,12.00
2017,51131,Northampton,Any Opioids,*,*
2017,51115,Mathews,N SS Opioids,0,0
2016,51113,Madison,Any Opioids,*,*
2017,51175,Southampton,Rx N SS Methadone,0,0
2017,51181,Surry,Heroin,0,0
2017,51036,Charles City,Methadone,0,0
2015,51117,Mecklenburg,Any Opioids,*,*
2015,51193,Westmoreland,Any Opioids,*,*
2016,51099,King George,All Drugs,7,26.94
2018,51820,Waynesboro,Methadone,0,0
2018,51660,Harrisonburg,Any Opioids,*,*
2018,51790,Staunton,N SS S Opioids,*,*
2016,51121,Montgomery,Rx N SS Methadone,*,*
2015,51650,Hampton,All Drugs,23,16.86
2018,51191,Washington,Any Opioids,*,*
2018,51175,Southampton,N SS Opioids,0,0
2018,51071,Giles,N SS Opioids,0,0
2018,51029,Buckingham,Any Opioids,0,0
2016,51181,Surry,S Opioids No Methadone,0,0
2016,51049,Cumberland,N SS S Opioids,*,*
2017,51740,Portsmouth,All Drugs,27,28.55
2017,51097,King and Queen,S Opioids No Methadone,*,*
2017,51049,Cumberland,S Opioids No Methadone,*,*
2016,51097,King and Queen,N SS S Opioids,0,0
2016,51145,Powhatan,Any Opioids,*,*
2018,51735,Poquoson,All Drugs,0,0
2017,51003,Albemarle,Heroin,*,*
2018,51580,Covington,N SS Opioids,0,0
2016,51187,Warren,S Opioids No Methadone,*,*
2015,51141,Patrick,Any Opioids,*,*
2018,51147,Prince Edward,Methadone,0,0
2017,51067,Franklin County,All Drugs,8,14.17
2016,51117,Mecklenburg,N SS Opioids,0,0
2016,51195,Wise,All Drugs,13,33.14
2017,51079,Greene,Rx N SS Methadone,0,0
2015,51041,Chesterfield,Methadone,*,*
2015,51141,Patrick,Heroin,0,0
2016,51193,Westmoreland,N SS Opioids,*,*
2018,51710,Norfolk,Rx N SS Methadone,12,4.92
2016,51083,Halifax,Methadone,*,*
2015,51760,Richmond City,All Drugs,48,21.79
2016,51199,York,Rx N SS Methadone,*,*
2018,51197,Wythe,S Opioids No Methadone,0,0
2015,51041,Chesterfield,Heroin,15,4.47
2017,51031,Campbell,Rx N SS Methadone,0,0
2017,51111,Lunenburg,Rx N SS Methadone,0,0
2016,51053,Dinwiddie,S Opioids No Methadone,0,0
2017,51680,Lynchburg,Any Opioids,7,8.64
2015,51019,Bedford,Heroin,*,*
2017,51053,Dinwiddie,N SS S Opioids,*,*
2015,51119,Middlesex,S Opioids No Methadone,0,0
2016,51045,Craig,Heroin,0,0
2018,51011,Appomattox,Rx N SS Methadone,*,*
2017,51678,Lexington,All Drugs,0,0
2017,51177,Spotsylvania,All Drugs,22,16.54
2016,51135,Nottoway,N SS Opioids,0,0
2016,51683,Manassas City,Methadone,0,0
2015,51840,Winchester,Methadone,0,0
2015,51141,Patrick,N SS S Opioids,*,*
2015,51181,Surry,Rx N SS Methadone,0,0
2015,51099,King George,Rx N SS Methadone,*,*
2016,51775,Salem,S Opioids No Methadone,*,*
2017,51139,Page,Heroin,*,*
2015,51185,Tazewell,Methadone,0,0
2018,51690,Martinsville,Any Opioids,5,38.75
2015,51085,Hanover,Methadone,0,0
2015,51149,Prince George,S Opioids No Methadone,0,0
2017,51063,Floyd,All Drugs,*,*
2017,51165,Rockingham,Heroin,*,*
2017,51169,Scott,All Drugs,*,*
2018,51139,Page,Heroin,*,*
2017,51690,Martinsville,Any Opioids,*,*
2018,51165,Rockingham,Heroin,*,*
2015,51171,Shenandoah,Methadone,0,0
2016,51630,Fredericksburg,Methadone,0,0
2018,51169,Scott,All Drugs,*,*
2018,51063,Floyd,All Drugs,*,*
2016,51061,Fauquier,S Opioids No Methadone,16,23.17
2016,51595,Emporia,Any Opioids,0,0
2015,51640,Galax,N SS Opioids,0,0
2018,51690,Martinsville,S Opioids No Methadone,*,*
2018,51610,Falls Church,Methadone,0,0
2018,51089,Henry,N SS Opioids,5,9.81
2015,51199,York,S Opioids No Methadone,0,0
2017,51600,Fairfax City,Rx N SS Methadone,*,*
2015,51149,Prince George,Any Opioids,*,*
2017,51127,New Kent,S Opioids No Methadone,7,32.28
2016,51035,Carroll,N SS S Opioids,0,0
2018,51105,Lee,N SS S Opioids,5,21.24
2018,51009,Amherst,All Drugs,0,0
2017,51107,Loudoun,All Drugs,30,7.54
2018,51113,Madison,Rx N SS Methadone,0,0
2018,51021,Bland,All Drugs,0,0
2016,51179,Stafford,Rx N SS Methadone,7,4.84
2015,51043,Clarke,S Opioids No Methadone,0,0
2016,51600,Fairfax City,All Drugs,*,*
2016,51700,Newport News,N SS S Opioids,27,14.85
2015,51045,Craig,S Opioids No Methadone,0,0
2015,51027,Buchanan,Methadone,*,*
2016,51051,Dickenson,Any Opioids,5,33.40
2015,51770,Roanoke City,Rx N SS Methadone,7,7.01
2017,51163,Rockbridge,Any Opioids,*,*
2016,51550,Chesapeake,Heroin,12,5.04
2016,51019,Bedford,S Opioids No Methadone,*,*
2017,51700,Newport News,S Opioids No Methadone,19,10.59
2016,51025,Brunswick,Heroin,*,*
2017,51580,Covington,Heroin,*,*
2018,51033,Caroline,Rx N SS Methadone,*,*
2018,51107,Loudoun,N SS S Opioids,19,4.67
2015,51195,Wise,Any Opioids,7,17.62
2018,51003,Albemarle,N SS Opioids,0,0
2017,51105,Lee,All Drugs,5,21.05
2017,51021,Bland,N SS S Opioids,*,*
2017,51001,Accomack,Rx N SS Methadone,0,0
2017,51005,Alleghany,Any Opioids,*,*
2017,51009,Amherst,N SS S Opioids,*,*
2018,51141,Patrick,N SS S Opioids,0,0
2018,51181,Surry,Rx N SS Methadone,0,0
2018,51099,King George,Rx N SS Methadone,*,*
2018,51840,Winchester,Methadone,0,0
2017,51770,Roanoke City,Heroin,13,13.02
2016,51610,Falls Church,Methadone,0,0
2017,51093,Isle of Wight,N SS Opioids,*,*
2015,51197,Wythe,Rx N SS Methadone,5,17.17
2016,51690,Martinsville,S Opioids No Methadone,0,0
2017,51690,Martinsville,N SS S Opioids,*,*
2015,51810,Virginia Beach,S Opioids No Methadone,28,6.18
2017,51177,Spotsylvania,Heroin,10,7.52
2016,51089,Henry,N SS Opioids,0,0
2015,51650,Hampton,Heroin,11,8.06
2017,51678,Lexington,Heroin,0,0
2015,51800,Suffolk,Heroin,*,*
2018,51025,Brunswick,All Drugs,*,*
2016,51067,Franklin County,N SS Opioids,6,10.70
2015,51065,Fluvanna,Rx N SS Methadone,0,0
2015,51790,Staunton,Any Opioids,*,*
2018,51191,Washington,S Opioids No Methadone,*,*
2017,51037,Charlotte,Methadone,0,0
2015,51165,Rockingham,N SS Opioids,*,*
2015,51081,Greensville,All Drugs,0,0
2016,51640,Galax,Methadone,0,0
2017,51137,Orange,Rx N SS Methadone,*,*
2015,51735,Poquoson,S Opioids No Methadone,0,0
2017,51051,Dickenson,S Opioids No Methadone,*,*
2017,51163,Rockbridge,N SS S Opioids,*,*
2016,51139,Page,Rx N SS Methadone,*,*
2018,51750,Radford,N SS Opioids,0,0
2018,51530,Buena Vista City,S Opioids No Methadone,0,0
2016,51163,Rockbridge,S Opioids No Methadone,0,0
2016,51700,Newport News,Any Opioids,35,19.25
2016,51051,Dickenson,N SS S Opioids,5,33.40
2015,51023,Botetourt,N SS Opioids,*,*
2016,51057,Essex,N SS S Opioids,*,*
2015,51175,Southampton,N SS Opioids,0,0
2016,51093,Isle of Wight,Heroin,*,*
2015,51790,Staunton,N SS S Opioids,*,*
2016,51177,Spotsylvania,N SS Opioids,9,6.82
2018,51650,Hampton,All Drugs,21,15.64
2015,51191,Washington,Any Opioids,8,14.65
2016,51678,Lexington,N SS Opioids,*,*
2016,51660,Harrisonburg,Heroin,*,*
2016,51091,Highland,Methadone,0,0
2018,51125,Nelson,All Drugs,*,*
2015,51173,Smyth,Methadone,*,*
2015,51183,Sussex,All Drugs,0,0
2017,51195,Wise,Heroin,0,0
2018,51137,Orange,N SS S Opioids,11,30.02
2016,51149,Prince George,Rx N SS Methadone,*,*
2017,51089,Henry,S Opioids No Methadone,*,*
2015,51163,Rockbridge,All Drugs,*,*
2018,51127,New Kent,N SS Opioids,0,0
2016,51029,Buckingham,Methadone,0,0
2017,51167,Russell,N SS S Opioids,*,*
2018,51197,Wythe,All Drugs,*,*
2015,51760,Richmond City,Any Opioids,45,20.43
2016,51071,Giles,N SS S Opioids,*,*
